company,text,published_time,num_likes,num_comments,num_shares,year_month,cleaned_text,polarity,sentiment,dominant_topic
getwriter,"Leadership is evolving, and yesterday’s workplaces no longer suffice — it’s time to rewrite the rules. 

Join Writer CEO May Habib at #WEF25 for a distinguished panel including Deloitte Deputy CEO Stacy Janiak, Jennifer Daniell Belissent, PhD of Snowflake, and the one and only Shelley Zalis of The Female Quotient. ✨ 

Their session on #AIForGood will be in the #EqualityLounge at Davos on Monday at 1:30pm CET, and will also be live-streamed on The Female Quotient's social handles. 

View the full agenda here: https://lnkd.in/g-G5GfhM",2025-01-19 08:58:18.786000013,2,1,0,2025-01,leadership evolving yesterday workplace longer suffice time rewrite rule join writer ceo may habib wef distinguished panel including deloitte deputy ceo stacy janiak jennifer daniell belissent phd snowflake one shelley zalis female quotient session aiforgood equalitylounge davos monday pm cet also livestreamed female quotient social handle view full agenda,0.07666666666666666,neutral,4
getwriter,"AI is at a pivotal moment: Deployment cannot wait, but TRUST is essential for success.

As the countdown to Davos and #WEF25 continues, Writer CEO May Habib examines how trust is the cornerstone of successful AI adoption at scale. We've worked with hundreds of enterprises and have identified five levers as a blueprint for building scalable, responsible AI.

1️⃣ Transparency
2️⃣ Reliability
3️⃣ Alignment
4️⃣ Privacy and security
5️⃣ Fairness 

🔗 Check out the full story and let us know your thoughts below: https://lnkd.in/gb3KBphE",2025-01-18 16:25:31.059000015,22,0,1,2025-01,ai pivotal moment deployment wait trust essential success countdown davos wef continues writer ceo may habib examines trust cornerstone successful ai adoption scale weve worked hundred enterprise identified five lever blueprint building scalable responsible ai transparency reliability alignment privacy security fairness check full story let u know thought,0.35000000000000003,positive,2
getwriter,"💡One high-impact use case — that’s all it takes to spark AI transformation in an organization. And savvy brands have figured out that PDP (Product Detail Page) workflows are a fast path to real ROI from their generative AI investments 📈

Discover how #AI can support the end-to-end PDP process and drive measurable value — join our first-ever CPG office hours live on January 28.

✅ Create and manage PDPs with less manual labor
✅ Reduce agency spend

Reserve your spot today: https://hubs.ly/Q032Y0ms0
If you can’t make it, register anyway and we’ll send you the recording!",2025-01-17 16:04:12.368999958,28,0,5,2025-01,one highimpact use case thats take spark ai transformation organization savvy brand figured pdp product detail page workflow fast path real roi generative ai investment discover ai support endtoend pdp process drive measurable value join firstever cpg office hour live january create manage pdps less manual labor reduce agency spend reserve spot today cant make register anyway well send recording,0.08200757575757577,neutral,0
getwriter,"""Building an AI-first workforce will require a deliberate, top-down shift across the entire organization. Leaders need to embrace change, challenge outdated processes, and invest time and resources to help employees thrive.""

May is one of the World Economic Forum's Young Global Leaders, and she was asked by TIME Magazine to share a transformative idea for 2025 in the leadup to #WEF25.

May's thoughts on AI literacy are so important in today's conversations about generative AI and jobs.

At Writer, we believe this is the year we can prove that with the right systems and tools, anyone can be an AI builder, and that embracing this mindset will create a more creative, inspired way of working. 🧠 🎨 

Read here full article here 👉 https://lnkd.in/e_kxe2e6",2025-01-16 23:15:01.059999943,11,0,0,2025-01,building aifirst workforce require deliberate topdown shift across entire organization leader need embrace change challenge outdated process invest time resource help employee thrive may one world economic forum young global leader asked time magazine share transformative idea leadup wef may thought ai literacy important today conversation generative ai job writer believe year prove right system tool anyone ai builder embracing mindset create creative inspired way working read full article,0.19357142857142856,positive,0
getwriter,"May Habib, CEO & Co-Founder of Writer, sits down with Nasdaq's Kristina Ayanian to discuss the company's mission to build AI that puts human potential and flourishing at the core.

For more: https://lnkd.in/gPvzGymZ",2025-01-16 21:23:34.888000011,160,2,6,2025-01,may habib ceo cofounder writer sits nasdaq kristina ayanian discus company mission build ai put human potential flourishing core,0.08611111111111111,neutral,2
getwriter,"📍World Economic Forum | Davos, Switzerland 

✨ May and our Chief Strategy Officer Kevin Chung will be representing Writer at the World Economic Forum in Davos next week! Here's our lineup of sessions:

🗓️ Date: 20 January  ⏰ Time: 1:30pm CET
* The Female Quotient: Algorithm for equality: AI for good - Leveraging AI to address global challenges
* Speakers
🔹 May Habib, CEO, Writer
🔹 Stacy Janiak, Deputy CEO, Deloitte
🔹 Shelley Zalis, CEO, The Female Quotient (moderator)
🔗 Registration: https://lnkd.in/g-G5GfhM
 
🗓️ Date: 21 January  ⏰ Time: 10:55am CET
* Axios: Fireside chat with May Habib
* Speakers
🔹 May Habib, CEO, Writer
🔹 Alison Snyder, Managing Editor, Axios (moderator)
🔗 Registration: https://lnkd.in/g6Uqu_-Z
 
🗓️ Date: 21 January  ⏰ Time: 12:00pm CET
* Kearney panel: How ready are CEOs to lead a truly AI-powered organization?
* Speakers
🔹 May Habib, CEO, Writer
🔹 Bharat Kapoor, Partner, Kearney (moderator)
🔹 Christina Crawford Kosmowski, CEO, LogicMonitor
🔹 Daniel Newman, CEO, The Futurum Group
🔹 Michael Römer, Partner, Kearney (moderator)
🔹 Åsa Tamsons, SVP and Head of Business Area Enterprise Wireless Solutions, Ericsson
🔗 Registration: https://lnkd.in/gJaEfZxE

Learn more about Writer at #WEF25: https://lnkd.in/gKGsEDQX 

#enterpriseAI #generativeAI",2025-01-16 19:59:46.763999939,204,3,15,2025-01,world economic forum davos switzerland may chief strategy officer kevin chung representing writer world economic forum davos next week here lineup session date january time pm cet female quotient algorithm equality ai good leveraging ai address global challenge speaker may habib ceo writer stacy janiak deputy ceo deloitte shelley zalis ceo female quotient moderator registration date january time cet axios fireside chat may habib speaker may habib ceo writer alison snyder managing editor axios moderator registration date january time pm cet kearney panel ready ceo lead truly aipowered organization speaker may habib ceo writer bharat kapoor partner kearney moderator christina crawford kosmowski ceo logicmonitor daniel newman ceo futurum group michael römer partner kearney moderator åsa tamsons svp head business area enterprise wireless solution ericsson registration learn writer wef enterpriseai generativeai,0.2,positive,4
getwriter,"From a chance Twitter connection to a $1.9 billion valuation, the story of May Habib and Waseem Alshikh, the founders of Writer, is a testament to focused innovation and the power of language technology. Starting with a shared passion for machine translation, they transformed their vision into an enterprise AI powerhouse.

Under their leadership, Writer has not only secured $200 million in Series C funding but also developed cutting-edge AI models like Palmyra and tools like AI Studio that redefine how businesses approach AI-driven solutions. With over 250 enterprise customers, including T-Mobile and Uber, Writer continues to set benchmarks in AI adoption, privacy, and performance.

This journey highlights the impact of building purposeful solutions tailored to customer needs, proving that success in AI isn’t about scale—it’s about strategy.

Read more here: https://lnkd.in/gTQ8Wp7P",2025-01-15 20:06:05.609999895,191,4,8,2025-01,chance twitter connection billion valuation story may habib waseem alshikh founder writer testament focused innovation power language technology starting shared passion machine translation transformed vision enterprise ai powerhouse leadership writer secured million series c funding also developed cuttingedge ai model like palmyra tool like ai studio redefine business approach aidriven solution enterprise customer including tmobile uber writer continues set benchmark ai adoption privacy performance journey highlight impact building purposeful solution tailored customer need proving success ai isnt scaleits strategy read,0.18,positive,2
getwriter,"Thanks for including me in your CES roundup for Ad Age, Asa Hiken. 

Some great quotes from Alicia Tillman, Drew Panayiotou, Jill Kramer, Mark Weinstein, Don McGuire and Emily Ketchen.

Please read the article to learn more, but my biggest takeaway was that 2025 will be the year of operationalizing AI.",2025-01-14 22:53:06.752000093,29,1,1,2025-01,thanks including ce roundup ad age asa hiken great quote alicia tillman drew panayiotou jill kramer mark weinstein mcguire emily ketchen please read article learn biggest takeaway year operationalizing ai,0.5,positive,0
getwriter,"As demand for enterprise AI grows, scaling language models face challenges: diminishing returns, limited public data, high energy needs, and chip constraints. At Writer, we believe the future lies in precision training and architectural innovation.

When we announced that our Palmyra x 004 model topped the tool calling leaderboards built on purely synthetic data, we realized there were a lot of myths surrounding synthetic data.

Misconceptions hinder adoption. Our Co-Founder and CTO Waseem Alshikh shares the facts and debunks these four prevalent myths:⁠

❌ Poor quality: Synthetic data isn't inferior — it can match or even surpass real data when generated correctly.

❌ ""Fake"" or hallucinated data: Synthetic data isn't fabricated — it's meticulously crafted off real data to mirror real-world scenarios.

❌ Can’t exclusively train on synthetic data: With the right bias and accuracy mitigation strategies, models can be trained solely on synthetic data, achieving remarkable performance and efficiency.

❌ Significant risks and ethical concerns: Synthetic data poses no more risks than real data and offers greater control and privacy.

Armed with facts, leaders can confidently embrace synthetic data to drive their AI initiatives forward.

💡 Learn more here: https://ow.ly/jV0g50UG6k6",2025-01-14 16:10:16.884999990,43,0,2,2025-01,demand enterprise ai grows scaling language model face challenge diminishing return limited public data high energy need chip constraint writer believe future lie precision training architectural innovation announced palmyra x model topped tool calling leaderboards built purely synthetic data realized lot myth surrounding synthetic data misconception hinder adoption cofounder cto waseem alshikh share fact debunks four prevalent myth poor quality synthetic data isnt inferior match even surpass real data generated correctly fake hallucinated data synthetic data isnt fabricated meticulously crafted real data mirror realworld scenario cant exclusively train synthetic data right bias accuracy mitigation strategy model trained solely synthetic data achieving remarkable performance efficiency significant risk ethical concern synthetic data pose risk real data offer greater control privacy armed fact leader confidently embrace synthetic data drive ai initiative forward learn,0.14817857142857144,positive,0
getwriter,"Fresh for 2025, check out our updated guide for retail and consumer goods — now with the latest real-world use cases and success stories from global brands! ✨

Here’s what you’ll take away from the guide:

🛠️ Practical AI Applications: Learn how custom Writer solutions can make the entire product lifecycle more efficient, from development to customer support.
🚀 Real-world success stories: See how Adore Me saved 35 hours per person/month and how a global brand saved $500K annually.
📈 Tailored Solutions: Find the generative AI use cases that will drive adoption and ROI across your organization.

Just in time for #NRF25, download your free guide today! https://hubs.ly/Q032nksr0",2025-01-13 21:54:17.684000015,11,1,0,2025-01,fresh check updated guide retail consumer good latest realworld use case success story global brand here youll take away guide practical ai application learn custom writer solution make entire product lifecycle efficient development customer support realworld success story see adore saved hour per personmonth global brand saved k annually tailored solution find generative ai use case drive adoption roi across organization time nrf download free guide today,0.2666666666666667,positive,0
